Date,High,Low,Open,Close,Volume,Adj Close
2016-04-25,219393,218330,218700,219278,100,219278
2016-04-26,220680,219540,219600,220340,400,220340
2016-04-27,221985,219980,220330,221430,200,221430
2016-04-28,221030,218661,219870,219120,200,219120
2016-04-29,219750,216860,218679,219000,200,219000
2016-05-02,220640,218730,219180,220253,200,220253
2016-05-03,219800,216300,219800,217354,300,217354
2016-05-04,216550,215103,215755,216515,200,216515
2016-05-05,217200,215230,216515,215880,200,215880
2016-05-06,217245,215135,215390,217000,200,217000
2016-05-09,216580,212950,216580,214430,200,214430
2016-05-10,217280,214700,214700,216975,300,216975
2016-05-11,217205,214211,217100,214468,200,214468
2016-05-12,215570,213435,214900,214860,200,214860
2016-05-13,215200,211750,214550,212140,300,212140
2016-05-16,213150,211905,211905,212530,300,212530
2016-05-17,212780,209865,212780,210695,300,210695
2016-05-18,212700,209940,210155,212200,200,212200
2016-05-19,212070,209600,211250,211180,300,211180
2016-05-20,213680,211810,211810,212833,300,212833
2016-05-23,213050,211650,213050,212210,200,212210
2016-05-24,216090,213000,213080,215650,300,215650
2016-05-25,217300,215565,215650,216185,300,216185
2016-05-26,215970,214360,215750,214600,200,214600
2016-05-27,215380,214290,215380,214303,200,214303
2016-05-31,216070,211695,215900,211695,200,211695
2016-06-01,213090,210703,211100,212360,200,212360
2016-06-02,213060,211570,212148,212355,200,212355
2016-06-03,212240,210210,211700,211615,200,211615
2016-06-06,213710,212205,212205,212880,300,212880
2016-06-07,213662,212180,213200,212210,200,212210
2016-06-08,214000,212620,212620,213500,100,213500
2016-06-09,213650,211810,213287,213210,100,213210
2016-06-10,213460,211800,211800,212622,100,212622
2016-06-13,213925,211450,212300,211450,200,211450
2016-06-14,212250,210880,211240,212070,500,212070
2016-06-15,213210,210050,212405,210050,300,210050
2016-06-16,213000,208610,210100,213000,300,213000
2016-06-17,212350,210651,212350,211200,300,211200
2016-06-20,214396,212500,213200,212630,200,212630
2016-06-21,215420,212830,213140,215420,300,215420
2016-06-22,216940,215420,215420,216266,200,216266
2016-06-23,218850,216983,217021,218850,400,218850
2016-06-24,212730,209500,210505,209852,900,209852
2016-06-27,208860,205074,208860,208000,400,208000
2016-06-28,210500,207650,209505,210400,300,210400
2016-06-29,213080,210000,212100,212645,400,212645
2016-06-30,217030,213220,213400,216975,600,216975
2016-07-01,217210,215600,216421,216298,200,216298
2016-07-05,215270,212650,214710,212960,200,212960
2016-07-06,213950,211500,212010,213620,200,213620
2016-07-07,214450,211900,214036,212501,300,212501
2016-07-08,215550,214035,214590,214720,200,214720
2016-07-11,216405,215200,216405,215824,200,215824
2016-07-12,217500,216070,216140,217050,200,217050
2016-07-13,218950,216690,216975,218950,300,218950
2016-07-14,219940,218280,219250,218591,300,218591
2016-07-15,219400,217660,219280,218990,100,218990
2016-07-18,220000,219000,219000,219900,400,219900
2016-07-19,220360,218900,219060,220265,500,220265
2016-07-20,220270,218590,220003,219187,200,219187
2016-07-21,219044,216315,218900,216315,300,216315
2016-07-22,217158,215920,216760,216805,200,216805
2016-07-25,217600,215430,217600,216005,100,216005
2016-07-26,217190,215901,216640,216400,100,216400
2016-07-27,217100,215670,216220,216300,100,216300
2016-07-28,217011,215250,216000,216660,100,216660
2016-07-29,216750,215710,215800,216000,100,216000
2016-08-01,216790,215430,216540,215960,100,215960
2016-08-02,215630,214520,215350,214900,200,214900
2016-08-03,215735,214620,215735,215300,200,215300
2016-08-04,215620,214400,215610,214830,100,214830
2016-08-05,218150,215800,215970,218010,600,218010
2016-08-08,218500,216460,218000,218300,400,218300
2016-08-09,221140,218310,218500,220605,800,220605
2016-08-10,221040,219260,220740,220000,400,220000
2016-08-11,222030,220000,220495,221890,600,221890
2016-08-12,221750,220630,220630,221750,300,221750
2016-08-15,221995,220750,221523,221995,300,221995
2016-08-16,221995,220805,221605,220805,500,220805
2016-08-17,223960,220920,220920,223890,400,223890
2016-08-18,224000,222855,223850,223200,300,223200
